formulation,experiment,n,runs,collapses,collapse_rate,E_rel_mean,E_rel_std,L2_mean,L2_std,integral_mean,integral_std
sin_rayleigh,A1_s0p1,8,30,0,0.0,1.2883654739677128e-07,1.1244109144508923e-07,9.490868194679761e-05,3.8618446633007354e-05,0.9999843378861745,0.00014913312026109977
sin_rayleigh,A1_s0p1,9,30,1,0.03333333333333333,3.317302509267979e-05,0.0001811701345162851,0.03343431703846125,0.1825074595024125,0.9666739602885598,0.18257565911788529
sin_rayleigh,A1_s0p1,10,30,2,0.06666666666666667,3.92990697283696e-05,0.00020594559354748413,0.0698935414320363,0.25310894777405685,0.9271939246279906,0.2534142021187042
sin_rayleigh,A1_s0p1,11,30,2,0.06666666666666667,3.94790092252934e-05,0.00019999522749370105,0.06686484302839016,0.253576515501282,0.9330456218536437,0.2536310272525246
sin_rayleigh,A1_s0p1,12,30,4,0.13333333333333333,3.0553345725838024e-05,0.00014657622625468937,0.12511716290355446,0.32629584410821544,0.8684994413277026,0.34035166028397723
sin_rayleigh,A1_s0p1,13,30,9,0.3,4.5659921815890945e-05,0.00010788092183750027,0.3127686293267009,0.4554824279642242,0.6729595268024774,0.46863808445444555
sin_rayleigh,A1_s0p1,14,30,7,0.23333333333333334,3.368648662582369e-05,0.00010576087095010131,0.2247839605031304,0.41473436312144135,0.7673725952788905,0.426895307290137
sin_rayleigh,A1_s0p1,15,30,15,0.5,6.925581385726163e-05,0.0001345350191037875,0.4983206684883097,0.5067692111495775,0.50003299520908,0.5085282953012173
sin_rayleigh,A1_s0p1,16,30,20,0.6666666666666666,0.00010290090435730751,0.00014351878178116124,0.6657595699462476,0.4764769732895525,0.3312235063402615,0.4764516427610327
sin_rayleigh,A1_s0p1,17,30,20,0.6666666666666666,6.045782053846968e-05,0.0001033443960781003,0.650472518193865,0.4715442937289832,0.3371321483826118,0.47642517847110155
sin_rayleigh,A1_s0p1,18,30,29,0.9666666666666667,7.097313919761893e-05,9.617014468455474e-05,0.9646723996444819,0.18226833547285498,0.03336309961456251,0.18238459395012538
sin_rayleigh,A1_s0p1,19,30,19,0.6333333333333333,2.8599654054646314e-05,4.793357840544701e-05,0.6437486670778899,0.4743981768629329,0.34453389074832125,0.47456140321087403
sin_rayleigh,A1_s0p1,20,30,29,0.9666666666666667,6.612590026694755e-05,7.187646578034818e-05,0.9658656287831132,0.1824142337943615,0.03333896277919812,0.1825929810874358
sin_rayleigh,A1_s0p1,21,30,29,0.9666666666666667,1.2962717998410896e-06,2.6293855774936113e-06,0.9654498578188703,0.18234801088974703,0.03334569855319011,0.18259608081357492
sin_rayleigh,A1_s0p1,22,30,29,0.9666666666666667,3.337984511928412e-07,2.1333100823676307e-07,0.9658875743589266,0.18241605710991304,0.033336946075530484,0.18259009708778873
sin_rayleigh,A1_s0p1,23,30,29,0.9666666666666667,2.1319207777728885e-06,9.102094221717626e-06,0.9748454213443419,0.10189322342270207,0.010661769193395535,0.05053617314627644
sin_rayleigh,A1_s0p1,24,30,28,0.9333333333333333,3.1281430658311374e-07,3.228810567339372e-07,0.9327803846300085,0.2535469780374547,0.0666643854739933,0.2536981233901659
sin_rayleigh,A1_s0p1,25,30,30,1.0,4.388793361401779e-07,7.160881625493133e-07,0.9992767118245321,0.0007670628889548713,7.94144217910094e-07,3.131599374666968e-06
sin_rayleigh,A1_s0p1,26,30,29,0.9666666666666667,3.9167950693474996e-07,6.425682958245881e-07,0.9660812985211837,0.1824428492101436,0.03332755197903542,0.18254123501815953
sin_rayleigh,A1_s0p1,27,30,30,1.0,4.072597404180132e-07,7.132865459697621e-07,0.99952512211538,0.00023690736640320735,1.0535545302651587e-07,1.980923552565408e-07
sin_rayleigh,A1_s0p1,28,30,30,1.0,1.9255084025626219e-07,1.3602113954837572e-07,0.9994581197517224,0.0002960718526753105,1.7063044730943518e-07,4.0649436428299724e-07
sin_rayleigh,A1_s0p1,29,30,30,1.0,4.6655170360493905e-08,0.0,0.9995393089403402,0.00019044119415986146,8.012282022804944e-08,1.4265377907664483e-07
sin_rayleigh,A1_s0p1,30,30,30,1.0,4.5740088418007205e-08,0.0,0.9994977454551809,0.00031418258520346564,1.596974108393027e-07,4.313243086585597e-07
sin_rayleigh,A2_s0,1,5,0,0.0,9.07432520189306e-08,5.35189020150831e-08,2.943485467859836e-05,1.2070154014131347e-06,0.999999177455902,2.577513254930107e-07
